#Sample interval: 8 ns
#Gate length: ch0: 280 ch1: 50
#Format:
#Channel;time/s;energy/channels;PSD or risetime
0;298.0416495560001;198;0
0;298.04818274800004;133;0
0;298.0526975640001;188;156
0;298.0540480320001;137;143
0;298.0588929525313;869;0
0;298.06841943800003;548;0
0;298.06926427200005;62;0
0;298.084601114;233;0
1;298.02351644609377;3;0
0;298.102245238375;467;49
0;298.10891718931254;190;0
0;298.149907326375;10;0
0;298.16863637140625;549;0
0;298.191204006375;202;0
0;298.2010035883438;606;0
0;298.2030472946563;333;0
0;298.20431288800006;87;126
0;298.2106401935938;271;0
0;298.220611889;470;0
0;298.248464796;6;0
0;298.27162077524997;554;0
0;298.2844902655938;281;0
0;298.30225663600004;157;0
0;298.305551848;144;182
0;298.311425413;373;50
0;298.315722126375;252;0
0;298.318281748;264;0
0;298.3188820826563;145;0
0;298.321751772;109;181
0;298.3656810760001;105;130
0;298.36600425600005;85;206
0;298.4311576995313;6;0
1;298.2431349568438;180;0
0;298.46115622131254;489;0
0;298.47246808200003;557;173
0;298.4751201573125;173;21
0;298.4753385480001;157;10
0;298.4866795280001;341;0
0;298.48897235450005;988;0
0;298.4956315485625;451;146
0;298.5655461013125;9;0
0;298.5727505206563;1879;0
0;298.575633992;36;16
0;298.59807487200004;87;0
0;298.5991210373125;133;44
0;298.62130072800005;95;245
0;298.64132256;58;0
0;298.65050365721874;8;0
0;298.67391042400004;249;5
0;298.678162616;150;0
0;298.72699469331246;189;156
0;298.75416848000003;140;0
0;298.75750925000006;558;20
0;298.7900692520001;10;0
1;298.7301557800001;7;237
0;298.79039008800004;388;0
0;298.80330689918753;290;101
0;298.8196470853125;560;20
0;298.83166753234383;1343;0
0;298.8361649301563;1047;82
0;298.87362110575003;497;0
0;298.87934264000006;104;0
0;298.87962283600007;124;0
0;298.88072629278133;673;0
0;298.89710517256253;329;104
0;298.9036611013125;68;0
0;298.9158567413125;3;245
1;298.80330692868756;2;231
0;298.9271570524375;599;148
0;298.9310965363438;31474;0
0;298.94718135200003;74;0
1;298.9310967170938;3;163
0;298.94962391400003;257;0
0;299.02006380800003;66;3
0;299.05668780265626;9;0
0;299.05724803600003;84;131
0;299.0590470527813;178;0
0;299.087234312;126;150
0;299.09457944400003;109;0
0;299.0976598374063;1650;180
0;299.101168288;77;0
0;299.120716697125;331;104
0;299.16136398131255;78;190
0;299.1859575110938;6;229
0;299.18626232800005;51;4
0;299.18819870931253;148;69
1;299.1009625316563;507;210
0;299.18939360725005;1136;112
0;299.2112373736876;464;3
0;299.2117224943126;1925;0
0;299.226155262;192;21
0;299.23310255637506;1053;0
0;299.23983767731255;150;0
0;299.25400825131254;1107;75
0;299.2542159866563;125;48
0;299.2548590640001;119;243
0;299.26860211200005;38;8
0;299.28279873387504;1997;0
0;299.3035200240001;58;110
0;299.30474710400006;134;0
0;299.317591864;63;0
0;299.3285595631875;6;0
0;299.33352009600003;343;174
0;299.33676330800006;129;0
0;299.38402947465624;158;1
0;299.41229440800004;146;0
0;299.43259709381255;585;0
0;299.45316305200004;7;160
0;299.45375321;372;88
0;299.46544504999997;205;0
1;299.32389779084383;5;0
0;299.50098604000004;211;0
0;299.506296764;67;208
1;299.504726290125;4;0
0;299.5142926533125;209;0
0;299.571644760875;422;0
1;299.53230066228133;332;209
0;299.5727666960001;555;0
0;299.60824752684385;7;214
0;299.6083326920001;81;190
0;299.61161184531255;147;0
0;299.61366692000007;279;0
0;299.62107409843753;559;227
0;299.63185061600007;219;219
0;299.6462806207188;1377;97
0;299.64960960468756;1234;201
0;299.67098315359385;190;177
0;299.6724079723751;1178;155
